cleaned_messages,MessageType
Oven la kanji porom... 2 times a day mrng and night... Day time la ceralac..,Non-Flirt
Oh....sooper re... apram pochaaa,Non-Flirt
Night 7 Kula ivalukaga ve returned to hotel,Non-Flirt
Ila cash uh kuduthutanga,Non-Flirt
Hum...,Non-Flirt
Gud,Non-Flirt
Jayaram Vegas ke poirukarthala.. Avan baby parthukutan... Naa matum dan pondn,Non-Flirt
Inga irukura place ways ellamae kathukiten...,Non-Flirt
Ippola nanae thaniya poi ellamae things la vangikuren...,Non-Flirt
Bore adicha nanum Utsav um trolly and card eduthutu velila kalambhidrom... inba avanga appavaiyum veetla vitutu,Non-Flirt
Utsav nalla valamdhutan... his way of taking care of us is different... we can see it re... ipdi valarardhu paakum bodhu happy ah iruku,Flirt
Way he talks is also... azhagha iruku... 7 years la drasstic change in him...,Non-Flirt
Nanga dha innum avana kozhandhaiyave pathutrukom...,Non-Flirt
,Non-Flirt
,Non-Flirt
Tips are welcome,Non-Flirt
Good.. Amma paiyan paasame Thani,Non-Flirt
Enaku next paiyan dan porakanum...,Non-Flirt
Amma kozhandhai nala semma bonding dha... adhu Inna amma paiyan,Non-Flirt
Namma 100 200% boy dha,Non-Flirt
Still boys love mom more than daughter,Flirt
Enaku oru pennum venumnu naanga rombaaaa.... avasaram patutrundhom,Non-Flirt
Try now.. 3 babies are fine,Non-Flirt
Nalla irukum periya family uh,Non-Flirt
Second tym .. romba aematrama irundhuchu... but  inba enga family ladha porakanum 8 months la US Vvaranumnu avan thalaila ezhudhirku,Non-Flirt
US citizen uh develop panu,Non-Flirt
True.. thes age babies are so lucky,Flirt
Hum hum.... adhana unakum aasai,Non-Flirt
They get hifi life right from the birth,Non-Flirt
Adhula enaku periya happiness la onnumilla...,Flirt
Due to these concerns.. enaku 3 to 4 yrs apram dan venum... I need a job there nu yosichen...,Non-Flirt
Anga irundhrundhalum... raja madhiri dha irundhrupan...,Non-Flirt
Adipodiiiiinguuuu,Non-Flirt
Financial uh I would hav struggled here.. we need to do both parents... Both are aged... Veedu ila proper uh... Serthu veika mudiyathu athan prob,Non-Flirt
Hey nejama dan solren,Non-Flirt
Nee dan romba yosikura,Non-Flirt
Na chumma pechuku kooda ... 3 ok nu ivan kitta sonnen...,Non-Flirt
Big families are always good,Non-Flirt
But he said... marubadiyum ne valila thudikradhu pakka ena manasu strog illa... stricly said  nooooo,Non-Flirt
Strength,Non-Flirt
Enaku labor pain eh epdi irukum nu theriyathu...,Non-Flirt
Anga cooking elam epdi?,Non-Flirt
Items elam kidaikutha namaku yetha mathiri,Non-Flirt
Keerai thavara ... mathadhellamae... Inga too good,Non-Flirt
Keerai dha kadaikavae mathengudhu,Non-Flirt
Yes palak matum kidaikum nu jayaram soluvan,Non-Flirt
Aama... adhuvum.... samaipen... but namma oodu keerai madhiri edhumae illa,Non-Flirt
Matha things edhulaiyumae koraiyae illa.... n bayandha aalavuku onnumae illa,Non-Flirt
Chappa matter dha,Non-Flirt
Cool..,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Inga konjam naal pazhagidichuna .. thanni patta paadu dha,Non-Flirt
<Media omitted>,Non-Flirt
Thanni patta paadu na,Non-Flirt
Enaku ipdi atleast inba ku pottu pakkanumnu aasai....,Non-Flirt
<Media omitted>,Non-Flirt
Goto California beach... Neeye apdi potu suthalam.. jayaram photos kaamichan... Super uh iruku,Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Athuku dan went to Goa...,Non-Flirt
Chennaila... takkunu kalambhi bye poiduvomla... adhae madhiri dha ingaiyum... but inna ore oru kaduppu na... indha jerkin gloves cap socks shoe boots idhellam potukitta poganum,Non-Flirt
day light savingsla dan ipdi... Apr paaru jolly uh irukum,Flirt
Newyork is the best place to live nu jayaram soluvan.... Mudinja move to Houston... Best place to settle in US for Indians..,Flirt
Best place la... ippodhiku paakamudiyadhu... konjam save pannanum... ippodhiku... apram pathukalam,Flirt
Pics la,Non-Flirt
Purithu... Will meet soon re...,Non-Flirt
Vilaku yethurem,Non-Flirt
Inga 6 pm aayiduchu,Non-Flirt
Neengalum anupalam...,Non-Flirt
Dp la parkarthoda seri,Non-Flirt
Athum without face,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Inba una mathiriye maaritu varan de,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Lastweek time square ponom re,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Halloween party,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
,Non-Flirt
🥰🥰🥰awwww cuttteeeest,Non-Flirt
He got beautiful eyes,Flirt
Mutta kannu,Non-Flirt
,Non-Flirt
Yashu pic podu de,Non-Flirt
,Non-Flirt
,Non-Flirt
Prime account vechirkiya reee,Non-Flirt
Yes de,Non-Flirt
Hru,Non-Flirt
Gud pooooor,Non-Flirt
Ne epdi iruka,Non-Flirt
Hows kutty FIG,Non-Flirt
Send user and password re,Non-Flirt
Good,Non-Flirt
Ava Iruka jus recovered from stomach probs nm,Non-Flirt
Now having ear pain,Non-Flirt
Earring pudichi iluthunde ore blood,Non-Flirt
9962764075,Non-Flirt
OTP vechi dan will login de,Non-Flirt
Password nyabagam ila,Non-Flirt
Jio connection ku free uh vanthuchu,Flirt
Sorry,Non-Flirt
Yashu kuda busy ayiten,Non-Flirt
Na kekum bodhu otp sollu,Non-Flirt
Ok,Non-Flirt
Ippo heal aacha,Non-Flirt
Poorna,Non-Flirt
?,Non-Flirt
Otp solriya ippo,Non-Flirt
Sure de,Non-Flirt
Login,Non-Flirt
Pass word kekudhu reeee,Non-Flirt
Otp sollu poorna,Non-Flirt
324444,Non-Flirt
Try it,Non-Flirt
Login aagalana reset panren,Non-Flirt
Mmm,Non-Flirt
Will wait re,Non-Flirt
,Non-Flirt
Gokka makka .. password niyabagam vachika matiya,Non-Flirt
Aagala ...,Non-Flirt
Ohiiii,Non-Flirt
Hey,Non-Flirt
I can able to login with OTP now,Non-Flirt
I just tried,Non-Flirt
Password not needed,Non-Flirt
Adhu epdi,Non-Flirt
Ask appa to enter my number,Non-Flirt
Otp,Non-Flirt
Poooor,Non-Flirt
Otp re,Non-Flirt
050441,Non-Flirt
Working,Non-Flirt
Prime vid re,Non-Flirt
Password is poori@5693,Non-Flirt
I just tried,Non-Flirt
Approve re,Non-Flirt
Ethun varala inum,Non-Flirt
Wait,Non-Flirt
Check. Now,Non-Flirt
Approve re,Non-Flirt
Hey poooooor,Non-Flirt
<Media omitted>,Non-Flirt
Waiting re,Non-Flirt
Iruken,Non-Flirt
Can he try again pls,Non-Flirt
I didnt get any,Non-Flirt
Aiyayoooo,Non-Flirt
Unake 3rd time dan vanthdu,Non-Flirt
Marubadiyum aaaaa,Non-Flirt
Na gali,Non-Flirt
,Non-Flirt
Wait,Non-Flirt
I can feel u,Non-Flirt
Wait,Non-Flirt
Okay,Non-Flirt
Again il ask him to do,Non-Flirt
Check,Non-Flirt
Panniyachu,Non-Flirt
Done,Non-Flirt
,Non-Flirt
Shabbbbbba,Non-Flirt
,Non-Flirt
Mudiyala ..,Non-Flirt
Inna panradhu.... na kooda unkitta konjam pesanum,Non-Flirt
Aprama call panren,Non-Flirt
Yea de,Non-Flirt
Ippo bye re,Non-Flirt
Ivalum elunthuta,Non-Flirt
Bye,Non-Flirt
,Non-Flirt
Enjoy ur day,Non-Flirt
Happy Anniversary reeeeee🫠🫠🫠🫠,Flirt
Thank you,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Omg,Non-Flirt
,Non-Flirt
,Non-Flirt
It's soooo cooolll,Non-Flirt
Nejama va re,Non-Flirt
Yes,Non-Flirt
Hi de,Non-Flirt
Hru,Non-Flirt
I moved in with ma in laws again,Non-Flirt
This weekend shifting..,Non-Flirt
So cancelled my jio set up,Non-Flirt
Prime won't work anymore...,Non-Flirt
Just letting you know,Non-Flirt
OK..,Non-Flirt
Jayaram matum Feb la moving there,Non-Flirt
Vandhanaku marg on Apr 10th,Non-Flirt
So I'll be here till that,Non-Flirt
He will come again on Apr and take us,Non-Flirt
Ohhhh.... sooprr re...,Non-Flirt
Jan 23rd engagement,Non-Flirt
Coimbatore paiyan,Non-Flirt
என் மாமியாரும் aprl dha Inga varanga,Non-Flirt
Acho,Non-Flirt
Athukula enjoy well,Flirt
Enaku Apr la irunthu release,Non-Flirt
Oooooo..... appo குசும்பு jaasthiya irukumaeeee,Non-Flirt
Nee maatilitiya,Non-Flirt
Hey epdi de samalipinga,Non-Flirt
Romba expense aagala?,Non-Flirt
Anna oru earning dana,Non-Flirt
?,Non-Flirt
Apr la irunthu again mamiyar kita maatikita,Non-Flirt
Pathukalam...,Non-Flirt
Avanuku adha happy...,Non-Flirt
Jan 20 appointment avangaluku,Non-Flirt
One more thing apram solren...,Non-Flirt
Yash epdi iruka,Non-Flirt
Appointment epdi kidachithu.. many saying 2024 mid varai appointment ila nu,Non-Flirt
She is fine,Non-Flirt
Howz kids dng!,Non-Flirt
Weather okay uh?,Non-Flirt
Ippo 2025 varikum full,Non-Flirt
Athan... Epdi vanginanu kekura,Non-Flirt
Thoongalaya,Non-Flirt
Last week one day slot opened for Jan & Feb 2023 ... luck dha kadachadhu,Non-Flirt
13th birthday la appa kum pullaiyum... so discussing,Non-Flirt
Ivardha கழுகு மாதிரி slot eppo open ஆகும் nu pathute இருப்பார்...,Non-Flirt
,Non-Flirt
Super,Flirt
Jan 13th? Anna kum utsav kum bday va?,Non-Flirt
Inba re,Non-Flirt
Adipaavi,Non-Flirt
Inba & avarukum .... both same date re,Non-Flirt
Double damaka,Non-Flirt
இங்க weather inniku -1°,Non-Flirt
-5 varikum body ku pazhagiduchu...,Non-Flirt
2 weeks back -23 ° pochu...,Non-Flirt
Inba ku la 104 pochu .. emergency kootitu போன admit பண sollitanga,Non-Flirt
Romba avastha pattutan kozhandha,Non-Flirt
Ippo paravala,Non-Flirt
Ong,Non-Flirt
Yes inba ku first bday la,Non-Flirt
Happy Birthday to Inba kutty may God bless him with all health and happiness,Flirt
Thank yu re,Non-Flirt
Edgemont erpadu epdi pogudhu pooor,Non-Flirt
All set already,Non-Flirt
I'm leaving tomo,Non-Flirt
Ooty la 3 days stay mudichitu dan cmg to engagement,Non-Flirt
Ooty ah... ippo Inna chummava,Non-Flirt
Coimbatore la dana engagement,Non-Flirt
So 2 days munadi Ooty poitu varalam nj,Non-Flirt
Ooooohhhh....,Non-Flirt
Poorna,Non-Flirt
2L share panriya.,Non-Flirt
help re,Non-Flirt
Feb 3rd tharava?,Non-Flirt
Car vitha dan de varum money,Non-Flirt
OK dha poorna.. Feb 6th kul acount la irundha podhum,Non-Flirt
Already 4 arrange pannitom,Non-Flirt
Ippo ne 2 sollirka,Non-Flirt
Innum 4 arrange pannanum..,Non-Flirt
Iru de... Car sell nalla price pona dan,Non-Flirt
Count me for 1lak,Non-Flirt
Hey 2L ready pannu ... gonnganga...,Non-Flirt
Account bal kagadha...,Non-Flirt
Un account badhila 10 days en account la iruka podhu... avlodha,Non-Flirt
Konja paathu pannu pooor,Non-Flirt
Enaku unna vitta Vera yaara theriyum,Non-Flirt
Car vitha evlo varum nu therila de,Non-Flirt
Athanala dan sonen,Non-Flirt
Mmmmm,Non-Flirt
Hey again photoshoot ah... pooooor,Non-Flirt
Ooty ponomla Anga complimentary nu 2 photos eduthanga... We gave extra 2k and clicked few pics... Unplanned dan,Non-Flirt
Romba azhagha iruku...,Non-Flirt
All good ah... functions la nallapadiya pocha,Non-Flirt
Super uh pochu,Flirt
Packing start pannitiya,Non-Flirt
Few pics send pannu re..  function dhu,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Jayaram ku started,Non-Flirt
Friday night he is leaving,Non-Flirt
Ohhh... sopperu...,Non-Flirt
Ena mamiyar mamanar photo elam vechiruka,Non-Flirt
Wedding day re ..,Non-Flirt
Visa aprroved for mamiyar yesterday,Non-Flirt
Oh ok k,Non-Flirt
,Non-Flirt
10lak ready panitiya,Non-Flirt
Avanga kitta iruku,Non-Flirt
En daddy mummy ku dha venum..,Non-Flirt
Athaye kamika mudiyatha?,Non-Flirt
Feb 6th & 10,Non-Flirt
Bank statement epdi name mathi kaatradhu,Non-Flirt
Gokkka makka,Non-Flirt
Adiyei money transfer panikonga de,Non-Flirt
Unnaiyum nambirken..,Non-Flirt
Panna matanga...,Non-Flirt
She wont,Non-Flirt
Car selling ku pesitu irukom.. romba kamiya kekuranga,Non-Flirt
Nejama va,Non-Flirt
Mmm...,Non-Flirt
Atleast 1 re pls..,Non-Flirt
Nanga arranga pqnnite dha irukom,Non-Flirt
Kandipa 1lk I'll arrange de,Non-Flirt
mm..,Non-Flirt
Sad ah irukiya,Non-Flirt
Romba,Non-Flirt
Ticket potathula irunthu ore kavalaya iruku vitu porany,Non-Flirt
Atha Vida mamiyar kuda irukanum ndrathu kavalaya iruju,Non-Flirt
Konja naal dhana..... avar konjam enjoy pannatum🤣,Non-Flirt
🤩🤩🤩🤩🤩🤩,Non-Flirt
Avan enaku mela azhugai,Non-Flirt
Hum... chumma re ... I know,Non-Flirt
Irudi Apr varai dana ipdi pesuva... Unaku iruku apram,Non-Flirt
Pathukalam... ellathaiyum na samalipen,Non-Flirt
,Non-Flirt
How's weather,Non-Flirt
Ippo -4,Non-Flirt
Weekend -20 pogudhu,Non-Flirt
Epdi de thangura.. bayama iruku ketale,Non-Flirt
Btw ena elam nee pack panikita?,Non-Flirt
For baby especially,Non-Flirt
Enakum solre,Non-Flirt
Already - 25 pathachu,Non-Flirt
Last month,Non-Flirt
Ippo paravala,Non-Flirt
Jerkin elam enga vangina,Non-Flirt
Indha climate la... na Utsav ah pick up panna ponum ... inbavaiyum stroller la kootikitu,Non-Flirt
Berlington la... discount la nariya collections irukum,Non-Flirt
Avan office poitan,Non-Flirt
Antha oorulaya,Non-Flirt
Anna va solriya?,Non-Flirt
Yes,Non-Flirt
Exact ah Inga illa,Non-Flirt
New york or north bergen la,Non-Flirt
Neeyum Avan Ivan nu dan aachariyama iruke... I tot u address him with respect... Like avaru neenga vanga,Non-Flirt
Nanum Utsav dha poi ellam purchase pannitu vandhom,Non-Flirt
India la irunthu ethun vangitu polaya?,Non-Flirt
U gotta good company de,Non-Flirt
Indha climate ku Inga vangunadha ... correct ah irukum odambhu thaangum,Non-Flirt
Enaku nee packing list solri.. main uh baby ku and kitchen utensils,Non-Flirt
Onne onnu angendhu potu varadhuku mattum vangiko,Non-Flirt
Poitu vangura varai epdi manage pananu kekuren,Non-Flirt
Athan enga vangina,Non-Flirt
Jayaram have one already,Non-Flirt
Ena vangiko nu kilamburan after 2 months,Non-Flirt
Nanga vandha tym aug la... appo end of summer re..,Non-Flirt
Myntra la,Non-Flirt
Na already onnu thick ah ... manali la vangunadhu iruku..,Non-Flirt
That will do,Non-Flirt
Ok I'll also check,Non-Flirt
Naa summer beginning dan varen,Non-Flirt
So mostly avlo kuliru irukathu nu solranga,Non-Flirt
Mmm....,Non-Flirt
Inga too expensive,Non-Flirt
Baby kum venuma?,Non-Flirt
Ok,Non-Flirt
Ne varaporardhu summer la... apram en re bayapudra,Non-Flirt
Naa 2nd time medicals ponum vera,Non-Flirt
Edhuku,Non-Flirt
Canada summer is like Ooty winter nu sonanga...,Non-Flirt
Ohhhhh..... apdiyaaa.,Non-Flirt
Appo vangiko,Non-Flirt
Medicals engalodathu getting expired this March 3rd.. i need to renew it to enter canada again,Non-Flirt
Ohhhhhhhh.... ok,Non-Flirt
Packing list solre,Non-Flirt
Main things,Non-Flirt
Ram Safe ah reached ah re..,Flirt
I got periods de,Non-Flirt
So he is starting on Wednesday early mrng,Non-Flirt
Postponed,Non-Flirt
Oh.... great,Flirt
Canada la... which place re,Non-Flirt
Toronto de,Non-Flirt
Pooor,Non-Flirt
Nivi chit start pannirka..,Non-Flirt
Onnu Join panriya ...,Non-Flirt
It will be helpfull for her re..,Non-Flirt
10 months,Non-Flirt
Enaku chit fund concept theriyathu de,Non-Flirt
Unga amma sonapave i would have joined,Non-Flirt
Hey periya concept... epdiyum unnala auction calls atn panna mudiyadhu like us .. .,Non-Flirt
Actually it is Mar - Dec 5k chit,Non-Flirt
Yu take the amount on oct month ok va...,Non-Flirt
Ill take care,Non-Flirt
Its just for her re,Non-Flirt
5k elam romba kashtam... Naa Anga poi settle aayitu vena join panren de...,Non-Flirt
Ipo Naa not working..,Non-Flirt
Seri ok ... re,Non-Flirt
Pooor,Non-Flirt
Poorna ... amount send panriya,Non-Flirt
Send me the account details,Non-Flirt
Yu have my dad accpunt la,Non-Flirt
Canara bank,Non-Flirt
To that,Non-Flirt
Will trasfer on friday evening re,Non-Flirt
Ok de,Non-Flirt
Send me account number,Non-Flirt
Jayaram leaving tonight,Non-Flirt
At 1pm,Non-Flirt
4 o clock flight,Non-Flirt
1am ah IST,Non-Flirt
Will talk to him re,Non-Flirt
4am dan flight but he will leave at 1,Non-Flirt
Saravanan,Non-Flirt
K de,Non-Flirt
Pooor,Non-Flirt
Solri,Non-Flirt
Nalaiku morning statement edukanum,Non-Flirt
Aiyayo Naa Friday dan unaku thevai nenachitu iruken,Non-Flirt
Wait will send you,Non-Flirt
Hummm...,Non-Flirt
Thursday ready pannanum,Non-Flirt
Friday Morning poganum,Non-Flirt
Okay,Non-Flirt
Poorna ... ?,Non-Flirt
Send panniyaa re,Non-Flirt
Will do de,Non-Flirt
Don't worry,Non-Flirt
Hey.. bank ku ponum entry poda,Non-Flirt
Thats y asking re,Non-Flirt
Iru de.. jayram account la dan money iruki,Non-Flirt
Avanoda username therila,Non-Flirt
Sent re,Non-Flirt
Can u pls check and tell me,Non-Flirt
Wait re,Non-Flirt
Done re,Non-Flirt
U got all money u need?,Non-Flirt
You deleted this message,Non-Flirt
,Non-Flirt
Aiya,Non-Flirt
He reached safe?,Flirt
Yea de.. 2hrs back dan immigration customs elam mudichitu room ku ponan,Non-Flirt
??,Non-Flirt
Hi de,Non-Flirt
Visa interview success aacha,Flirt
Hey ne thoongalaiya,Non-Flirt
Yes re ... but ippodhiku yaarkum sollala,Non-Flirt
Jayram ponathula irunthu night thookam pochu,Non-Flirt
Good,Non-Flirt
Congratulations for ur parents,Flirt
Achooo...,Non-Flirt
We are happy but we cant enjoy ...,Non-Flirt
Na apram solren,Non-Flirt
Just a phase... Matter of 2 months... Odidum days,Non-Flirt
Ena aachu,Non-Flirt
Mamiyar ethachum sonanga,Non-Flirt
Busy uh irukiya,Non-Flirt
Not now,Non-Flirt
Ippodha thoongi enchen,Non-Flirt
Ok purithu,Non-Flirt
Afternoon thoongi uh?,Non-Flirt
Yes,Non-Flirt
Nit la thoongal,Non-Flirt
Adipavi,Non-Flirt
Yes,Non-Flirt
Aama tension uh irukum,Non-Flirt
Evlo de interview ku pay pannanum?,Non-Flirt
15k,Non-Flirt
Oruthavangalukj,Non-Flirt
Omg.. very expensive de,Non-Flirt
Elame kaasu dan us and Canada la,Non-Flirt
Konjam luxury uh vaazhavr late aagum... Y r u planning to take ur mamiyar and parents there now... Plan after an year,Non-Flirt
Mamiyar aprl,Non-Flirt
Dad mom next year dha,Non-Flirt
Naangalr ithelam yosichitu dan next yr ku apram baby plan panitu koopudrom.nu soliton ipove,Non-Flirt
Mm... wait re,Non-Flirt
Inba is crying,Non-Flirt
Oruthat vanthalum selavu dan.. machinar kita po solidu,Non-Flirt
Tc,Non-Flirt
Got all money de,Non-Flirt
Thanks re pooooor...,Non-Flirt
Chi it's okay,Non-Flirt
Car sell pani i had 2laks,Non-Flirt
Inum venuma nu keten,Non-Flirt
Nee ethume solal,Non-Flirt
Anyways all went well,Non-Flirt
Soooperuuu,Non-Flirt
Yeah re,Non-Flirt
Not feeling well,Non-Flirt
நாலு perukum fever cold,Non-Flirt
Fever again,Non-Flirt
Yes,Non-Flirt
Weather potu paduthuthu pola,Non-Flirt
,Non-Flirt
Bayama iruku..,Non-Flirt
Mmm... cooking re,Non-Flirt
First Winter la ....,Non-Flirt
Btw y were u not happy abt the visam,Non-Flirt
??,Non-Flirt
Next winter la palagiduva,Non-Flirt
Cheer up,Flirt
Hope,Non-Flirt
Will tell re,Non-Flirt
Now I'm bit bc,Non-Flirt
🤞,Non-Flirt
Tak time,Non-Flirt
Cya,Non-Flirt
I'm putting her to sleep,Non-Flirt
Bye,Non-Flirt
Inba looks so different,Non-Flirt
Happy Anniversary de convey wishes to anna also grow old with love,Flirt
hey thanks re pooooooor 🥰,Non-Flirt
,Non-Flirt
Hi de,Non-Flirt
Hri,Non-Flirt
Hey,Non-Flirt
Pooooor,Non-Flirt
Epdi iruka,Non-Flirt
கல்யாண வேளை எப்புடி போகுது,Non-Flirt
Hi de,Non-Flirt
Hru,Non-Flirt
R u okay?,Non-Flirt
Need ur parents house address de,Non-Flirt
OK re... good,Flirt
No 4/154 sabapaghy nagar,Non-Flirt
Yashu ne epdi irukingama,Non-Flirt
Al good la auto uncle vandhu,Non-Flirt
Nejama?,Non-Flirt
Auto uncle uh 🤣,Non-Flirt
Apdiye days are running de,Non-Flirt
Aunty,Non-Flirt
Inum 2 weeks la wedding,Non-Flirt
Mmmmm...,Non-Flirt
Date,Non-Flirt
All re so tensed,Non-Flirt
Ne eppo kalambra,Non-Flirt
Avalum kilambura to Bangalore,Non-Flirt
Nanum kilamburrn,Non-Flirt
Apr 15th early mrng,Non-Flirt
Ma parents are so worried,Non-Flirt
Inna panrqdhu,Non-Flirt
Kashtama dha irukum,Non-Flirt
But need to overcome,Non-Flirt
Ippo nanga pannitrukara maadhiri,Non-Flirt
Hmmm apdi soli dan thethikanhm,Non-Flirt
Yen de ipdiye solra,Non-Flirt
Unaku dan mamiyar coming,Non-Flirt
Bro in law is ther,Non-Flirt
Atleast u got some ppl,Non-Flirt
Be happy de,Flirt
Nalla enjoy pannu,Non-Flirt
Plan panni apdi amachikitom,Non-Flirt
Adha nanga pakathula irukomla,Non-Flirt
Eppo venalum inga vandhuru,Non-Flirt
Stay panny,Non-Flirt
You too you ppl are also most welcome,Flirt
Chennai vida na pakkathula dha iruken,Non-Flirt
Canada Veedu kidaikarthe kuthirai komba pochi,Non-Flirt
Mariyadhaya Inga va,Non-Flirt
Ingaiyum apdidha alanjaru,Non-Flirt
Athelam 1 year kalichi dn plan pannanum as we have to settle things first,Non-Flirt
Kittathatta 20 veeduku mela patharu,Non-Flirt
Hum,Non-Flirt
Marriage enniku,Non-Flirt
Athe dan... Credit score ilanu rejected... Finally Indian couples dan Veedu kudithanga,Non-Flirt
Apr 10th,Non-Flirt
Kadachirucha,Non-Flirt
Oh,Non-Flirt
OK,Non-Flirt
1/2 bhk,Non-Flirt
Yes Apr 5tj dan jay will move... Anga things vechitu he will leave on 6th to India...,Non-Flirt
2bhk.. at missisauga,Non-Flirt
Oh.  Achooo,Non-Flirt
Enga,Non-Flirt
Innare name idhu,Non-Flirt
It's kinda 1bhk with den re.. den got a door avlo dan,Non-Flirt
Ha ha missisauga is one famous area at toronto.. you can find many indian PPL and shops there,Flirt
Very expensive dan but kidacha pothum nu we said okay,Non-Flirt
Oooooohhhkay,Non-Flirt
Kadachidha .. ippodhiku..  avlodha,Non-Flirt
Athe dan,Non-Flirt
How's kutties,Non-Flirt
All ok dha,Non-Flirt
Epo mamiyar visit?,Non-Flirt
Eppodha climate maarumnu iruku,Non-Flirt
Apr 18th,Non-Flirt
Day light savings start aagi 1 month la complete uh maaridum,Non-Flirt
Sun vanthuchuna thiruvizha mathiri irukum,Non-Flirt
Newyork is one of the busiest place in America nu sonan jayaram,Non-Flirt
Mmmm... every week outing dha,Non-Flirt
🤩,Non-Flirt
Center too... You can go many places from there,Non-Flirt
Yes cheer up,Flirt
Purchasing la epdi pogudhu,Non-Flirt
Athu pothu inum,Non-Flirt
Marriage shopping trip shopping,Non-Flirt
Post wedding ku vandhana ku shopping nu,Non-Flirt
,Non-Flirt
thanks re,Non-Flirt
Hru de,Non-Flirt
Appa ku pathirikai potuten,Non-Flirt
Vanthuducha?,Non-Flirt
They got re,Non-Flirt
Ok,Non-Flirt
,Non-Flirt
What's happening,Non-Flirt
,Non-Flirt
Was talking with jay,Non-Flirt
Elarum solrathuku munadi status poten,Non-Flirt
Hru,Non-Flirt
Gud re,Non-Flirt
Utsav ku bday uh ila cake try pani parthiya?,Non-Flirt
Both... re,Non-Flirt
Yashu Inna panra,Non-Flirt
Oh sorry happy birthday to the champ,Flirt
Convey my wishes to him,Non-Flirt
Epdi irukinga rendu perum,Non-Flirt
Sleeping,Non-Flirt
Irukom,Non-Flirt
Jayram happy ah irukara,Flirt
Next week jay varan,Non-Flirt
Sooperu,Non-Flirt
He is... Veedu athu ithu nu elame set panitan...,Non-Flirt
Days epdi fast ah podhula,Non-Flirt
Great,Flirt
Apr 18th 1am flight for me...,Non-Flirt
Book panitom,Non-Flirt
Sooper re...,Non-Flirt
UnclE aunty dha ... few days aagum vid call pesi pesi dha set aagikanum,Non-Flirt
Oh,Non-Flirt
OK,Non-Flirt
Athelam they are mentally prepared to,Non-Flirt
When is ur mil cmg?,Non-Flirt
Mil ah,Non-Flirt
Oh..,Non-Flirt
Paaaahhhh,Non-Flirt
Inna shortform,Non-Flirt
Same date,Non-Flirt
Hey apdi dan soluvanga,Non-Flirt
Nejamava,Non-Flirt
Enaku theriyadhupa,Non-Flirt
Yes,Non-Flirt
Airport la parpoma avangala api,Non-Flirt
Afternoon flight,Non-Flirt
1pm,Non-Flirt
Epdi varanga?,Non-Flirt
I'll start by Apr 17th itself,Non-Flirt
Hum..,Non-Flirt
Via dehli I think,Non-Flirt
K k,Non-Flirt
Happiyoooo happyiya pooor,Non-Flirt
All over ah reeee.,Non-Flirt
Hi de,Non-Flirt
Yea,Non-Flirt
Nalla padiya mudinjithu,Non-Flirt
Marg registration,Non-Flirt
Ippo va,Non-Flirt
Sooper,Non-Flirt
Yes.. in register office now,Non-Flirt
Send yur house address,Non-Flirt
Eppo ooruku kalambhura,Non-Flirt
Unga veetla ena vishesham de?,Non-Flirt
Monday Apr 17rh,Non-Flirt
Vandhana vum appo dha kalambhurala,Non-Flirt
Vandhana Apr 19th kilambura,Non-Flirt
To bangalore,Non-Flirt
Oh... ok ok,Flirt
Send pics re later when yur free,Flirt
Yashu nalla irukala,Non-Flirt
Onu kuda ila de,Non-Flirt
Avaluku marg anaiku sema fever,Non-Flirt
Next day itself normal ayita,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Nee keta neram vanthuduchu photos elam,Non-Flirt
Aiyayoooo....,Non-Flirt
Amazing pics reeeeee,Flirt
Lovely ah iruku,Flirt
Naa dan sema Gunda iruken,Non-Flirt
Nerla actually I was looking better,Non-Flirt
Adhu dress nala apdi iruku..,Non-Flirt
Yu have chosen the dress like that re,Non-Flirt
But pinkish ah irukinga,Non-Flirt
